A,ProductName,InArea,MbaId,ProductSerialNumber,commodity,AnnualConsumption,StartDate,ContractDuration,OrderDate,Status,PriceGuarantee,PriceDate,PriceChange,OrigBaseCosts,OrigKwhCosts,OrigKwhMargin,OrigbaseMargin,CurrentBasePriceNet,CurrentKwhPriceNet,CatalogBasePrice,CatalogKwhPrice,CurrentBaseCost,CurrentKwhCost,CurrentKwhRohmarge,CurrentBaseRohmarge,BaseNewPriceProposed,KwhNewPriceProposed,NewPriceInclude,NewPriceStartdate,CurrentBaseTargetMargin,CurrentKwhTargetMargin
A2,12,False,en-1796943106,ev-qntrc6191,power,302,2021-01-01,2021-12-31 00:00:00,2021-01-04,active,2021-12-31 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,31517771,ev-gnwqb8208,power,,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,63.58,22.75,0.1,2.0,65.58,22.85,96.64,34.8,89.7,19.503,3.3470000000000013,-24.120000000000005,91.7,19.599999999999998,,,6.94,15.3
A2,12,False,en-9238215579,ev-anxav1140,power,2638,2021-01-04,2022-01-03 00:00:00,2021-01-04,active,2022-01-03 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,31718524,8004396514,gas,33561.76471,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,en-9238215579,ev-mzbrl5293,gas,8441,2021-01-04,2022-01-03 00:00:00,2021-01-04,active,2022-01-03 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,en-9262927800,ev-hrjtf6236,power,3539,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,31382337,99454735,power,2630,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,63.58,22.75,0.1,2.0,65.58,22.85,96.64,34.8,89.7,19.503,3.3470000000000013,-24.120000000000005,91.7,19.599999999999998,,,6.94,15.3
A2,12,False,31382337,99454734,gas,48659.5,2021-01-05,2022-01-04 00:00:00,2021-01-04,active,2022-01-04 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,en-8265585383,ev-gotvo0240,power,1863,2021-01-02,2022-01-01 00:00:00,2021-01-04,active,2022-01-01 00:00:00,2020-10-01,False,92.14,21.32,0.7,24.0,116.14,22.02,168.32,35.04,150.93,17.943,4.076999999999998,-34.790000000000006,174.93,18.639999999999997,,,17.39,17.1
A2,12,False,en-8265585383,ev-exror3093,gas,17680,2021-01-02,2022-01-01 00:00:00,2021-01-04,active,2022-01-01 00:00:00,2020-10-01,False,121.75,3.8809,0.15,32.0,153.75,4.03,200.07,15.11,168.07,4.3618,-0.33179999999999943,-14.319999999999993,200.07,4.51,,,32.0,10.75
